Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Skin Care,47,1509.69,-101.83,-101.47,1306.39
Home Decor,62,3100.55,-358.97,-236.14,2505.44
One-of-a-Kind,51,869.36,-36.54,-20.66,812.16
Furniture,55,5014.89,-104.2,-365.19,4545.5
Accessories,64,5952.42,-300.99,-218.92,5432.51
Recycled Art,3,4215.97,-137.32,-266.58,3812.07
One-of-a-Kind,51,12465.32,-1747.11,-789.72,9928.49
Jewelry,7,5479.95,-674.78,-293.6,4511.57
Skin Care,21,4357.83,-430.02,-39.35,3888.46
Fair Trade Gifts,73,8231.9,-1086.65,-687.61,6457.64
Christmas,39,2285.68,-280.03,-73.32,1932.33
Skin Care,18,12072.52,-436.06,-225.17,11411.29
Accessories,4,1303.35,-175.9,-5.31,1122.14
Accessories,89,14805.93,-1266.02,-874.87,12665.04
Recycled Art,60,11629.22,-1430.88,-787.95,9410.39
Jewelry,14,3140.99,-425.46,-5.21,2710.32
Home Decor,9,281.73,-15.36,-14.43,251.94
Recycled Art,90,12268.83,-311.72,-277.88,11679.23
Recycled Art,53,10661.49,-446.83,-687.85,9526.81
Christmas,2,10989.31,-767,-191.62,10030.69
Kitchen,84,11614.8,-1446.3,-802.51,9365.99
Jewelry,92,1295.86,-169.11,-50.12,1076.63
Basket,60,5505.29,-60.41,-515.7,4929.18
Recycled Art,71,1914.86,-156.07,-26.33,1732.46
Music,44,12973.93,-887.9,-442.5,11643.53
Textiles,8,9424.81,-387.31,-106.95,8930.55
Kitchen,47,5097.29,-136.51,-471.34,4489.44
Basket,35,1140.66,-65.32,-100.07,975.27
Kids,78,4802.54,-682,-123.88,3996.66
Music,81,5012.71,-276.94,-330.83,4404.94
Jewelry,36,10998.17,-908.79,-898.79,9190.59
Art & Sculpture,50,9635.85,-1044.74,-534.98,8056.13
Music,4,13330.75,-811.95,-706.06,11812.74
Fair Trade Gifts,2,7188.78,-1049.92,-173.86,5965
Kitchen,6,1969.99,-285.14,-18.34,1666.51
One-of-a-Kind,54,10756.02,-486.7,-965.05,9304.27
Music,4,11459.62,-912.36,-1031.84,9515.42
Soapstone,54,8506.9,-443.4,-538.57,7524.93
Art & Sculpture,93,11610.31,-579.1,-393.62,10637.59
Accessories,63,7508.17,-113.86,-262.19,7132.12
Accessories,18,7936.45,-756.65,-576.15,6603.65
Furniture,90,6527.61,-524.66,-585.6,5417.35
Fair Trade Gifts,44,576.2,-9.91,-51.11,515.18
Kids,34,1796.79,-88.06,-140.13,1568.6
Music,74,665.15,-91.23,-42.7,531.22
Music,62,9618.87,-418.79,-80.93,9119.15
Kids,14,4852.47,-146.96,-78.43,4627.08
Furniture,95,7726.85,-606.74,-694.3,6425.81
Textiles,48,13631.98,-2017.41,-826.68,10787.89
Textiles,15,3889.52,-170.7,-3.58,3715.24
